Filename, % Statements, Statements, % Branches, Branches, % Functions, Functions, % Lines, Lines
All Files, 74.56, 815/1093, 61.24, 335/547, 65.63, 149/227, 74.36, 731/983
src/bootstrap.ts, 67.16, 45/67, 100, 0/0, 53.33, 8/15, 67.24, 39/58
src/core/contexts/paymentDetailsContext.ts, 81.57, 31/38, 78.57, 11/14, 100, 3/3, 80.55, 29/36
src/core/entities/cardOperation.entity.ts, 100, 8/8, 100, 0/0, 100, 0/0, 100, 6/6
src/core/entities/paymentDetails.entity.base.ts, 87.5, 7/8, 100, 0/0, 50, 1/2, 87.5, 7/8
src/core/entities/standardTransfer.entity.ts, 100, 7/7, 100, 0/0, 100, 0/0, 100, 5/5
src/core/entities/transaction.entity.ts, 100, 19/19, 100, 0/0, 100, 2/2, 100, 17/17
src/core/enums/entryType.ts, 100, 6/6, 100, 2/2, 100, 1/1, 100, 6/6
src/core/enums/serviceContexts.ts, 100, 3/3, 100, 2/2, 100, 1/1, 100, 3/3
src/core/enums/transactionType.ts, 100, 23/23, 100, 2/2, 100, 1/1, 100, 23/23
src/core/errors/paymentDetailsProcessingError.ts, 33.33, 1/3, 100, 0/0, 0, 0/1, 33.33, 1/3
src/core/errors/repositoryError.ts, 37.5, 3/8, 0, 0/9, 0, 0/1, 37.5, 3/8
src/core/errors/unsupportedTxnError.ts, 40, 2/5, 100, 0/0, 0, 0/1, 40, 2/5
src/core/extensions/dateExtensions.ts, 100, 3/3, 100, 0/0, 100, 1/1, 100, 3/3
src/core/extensions/entryTypeExtensions.ts, 100, 7/7, 100, 0/0, 100, 4/4, 100, 6/6
src/core/extensions/responseExtensions.ts, 94.11, 16/17, 50, 2/4, 87.5, 7/8, 100, 9/9
src/core/extensions/transactionExtensions.ts, 90, 9/10, 69.23, 9/13, 75, 3/4, 90, 9/10
src/core/extensions/transactionTypeExtensions.ts, 100, 17/17, 100, 19/19, 100, 10/10, 100, 16/16
src/core/factories/paymentDetailsFactory.ts, 100, 13/13, 100, 4/4, 100, 6/6, 100, 12/12
src/core/factories/transactionFactory.ts, 100, 6/6, 100, 0/0, 100, 1/1, 100, 4/4
src/core/loggers/winstonLokiLogger.ts, 68.42, 13/19, 35.71, 5/14, 50, 5/10, 73.33, 11/15
src/core/providers/abstractTransactionProvider.ts, 91.17, 31/34, 100, 4/4, 100, 6/6, 89.65, 26/29
src/core/repositories/transactionRepository.ts, 82.35, 14/17, 0, 0/1, 100, 3/3, 78.57, 11/14
src/core/strategies/abstractPaymentDetailsStrategy.ts, 100, 6/6, 100, 0/0, 100, 1/1, 100, 5/5
src/core/types/injectables.ts, 100, 1/1, 100, 0/0, 100, 0/0, 100, 1/1
src/core/types/transactionTypeByString.ts, 100, 3/3, 100, 0/0, 100, 0/0, 100, 3/3
src/core/types/transactionTypeString.ts, 100, 1/1, 100, 0/0, 100, 0/0, 100, 1/1
src/dependencyInjector.ts, 94.28, 66/70, 60, 3/5, 100, 12/12, 94.2, 65/69
src/gmail/clients/gmailApiClient.ts, 11.11, 7/63, 0, 0/28, 0, 0/18, 9.09, 5/55
src/gmail/providers/gmailTransactionDataProvider.ts, 96.15, 75/78, 76.21, 157/206, 100, 17/17, 96.05, 73/76
src/gmail/providers/gmailTransactionProvider.ts, 100, 7/7, 100, 0/0, 100, 2/2, 100, 7/7
src/gmail/providers/gmailTransactionSourceProvider.ts, 19.35, 6/31, 0, 0/2, 0, 0/8, 13.79, 4/29
src/gmail/providers/mockGmailTransactionSourceProvider.ts, 89.47, 17/19, 100, 1/1, 100, 5/5, 87.5, 14/16
src/gmail/strategies/gmailCardOperationStrategy.ts, 86.66, 13/15, 72.72, 16/22, 100, 1/1, 86.66, 13/15
src/gmail/strategies/gmailCrossBorderTransferFeeStrategy.ts, 100, 9/9, 100, 0/0, 100, 2/2, 100, 8/8
src/gmail/strategies/gmailCrossBorderTransferStrategy.ts, 92.85, 13/14, 75, 3/4, 100, 2/2, 92.3, 12/13
src/gmail/strategies/gmailDeskWIthdrawalStrategy.ts, 100, 5/5, 100, 0/0, 100, 1/1, 100, 5/5
src/gmail/strategies/gmailStandardFeeStrategy.ts, 100, 4/4, 100, 2/2, 100, 1/1, 100, 4/4
src/gmail/strategies/gmailStandardTransferStrategy.ts, 100, 6/6, 75, 12/16, 100, 1/1, 100, 6/6
src/gmail/types/paymentDetailsTestCases.ts, 100, 2/2, 100, 0/0, 100, 0/0, 100, 2/2
src/gmail/types/transactionDataTestCase.ts, 100, 12/12, 100, 0/0, 100, 2/2, 100, 11/11
src/googleOAuth2/constants.ts, 100, 4/4, 55.55, 10/18, 100, 0/0, 100, 4/4
src/googleOAuth2/entities/googleOAuth2Tokens.entity.ts, 100, 7/7, 100, 0/0, 100, 0/0, 100, 5/5
src/googleOAuth2/factories/googleOAuth2IdentifiersFactory.ts, 100, 5/5, 100, 0/0, 100, 1/1, 100, 3/3
src/googleOAuth2/providers/abstractGoogleOAuth2ClientProvider.ts, 90, 27/30, 61.11, 11/18, 100, 5/5, 89.28, 25/28
src/googleOAuth2/providers/googleOAuth2ClientProvider.ts, 15.15, 5/33, 0, 0/18, 0, 0/8, 15.62, 5/32
src/googleOAuth2/providers/mockGoogleOAuth2ClientProvider.ts, 87.5, 14/16, 66.66, 2/3, 85.71, 6/7, 83.33, 10/12
src/googleOAuth2/repositories/googleOAuth2TokensRepository.ts, 82.6, 19/23, 60, 3/5, 100, 3/3, 80.95, 17/21
src/web/controllers/gmailTransactionsController.ts, 77.86, 95/122, 68.96, 40/58, 76, 19/25, 76.63, 82/107
src/web/controllers/groupRulesController.ts, 19.14, 9/47, 0, 0/22, 0, 0/8, 15, 6/40
src/web/controllers/groupsController.ts, 25.71, 9/35, 0, 0/14, 0, 0/8, 21.42, 6/28
src/web/middleware/googleOAuth2Middleware.ts, 100, 33/33, 92.3, 12/13, 100, 4/4, 100, 31/31
src/web/routes/gmailTransactionsRoutes.ts, 100, 7/7, 100, 0/0, 100, 0/0, 100, 7/7
src/web/routes/groupRulesRoutes.ts, 100, 8/8, 100, 0/0, 100, 0/0, 100, 8/8
src/web/routes/groupsRoutes.ts, 100, 10/10, 100, 0/0, 100, 0/0, 100, 10/10
src/web/routes/kubernetesProbesRoutes.ts, 66.66, 6/9, 100, 0/0, 0, 0/3, 100, 6/6
src/web/routes/swaggerRoutes.ts, 100, 12/12, 75, 3/4, 100, 0/0, 100, 12/12
src/web/schemas/transaction.ts, 100, 8/8, 100, 0/0, 100, 1/1, 100, 7/7
